mark,title,price,price_adjusted,link,addr,explain,社區,車 位,管理費,poster,養寵物,格局,坪數,樓層,型態,expired_at,id,desc,fetched
,全新面雄中優質大套房,10000,10791,https://rent.591.com.tw/rent-detail-10628772.html,高雄市三民區建國三路,,新活性大樓,無,375元/月,張先生(仲介，收取服務費),不可以,1房1廳1衛1陽台,12坪,3F/12F,電梯大樓,2021-04-13,10628772,"1.全新整理,一卡皮箱即可入住

2.禁養寵物與謝絕八大行業

3.認真學子的福地,對面就是雄中,原屋主的小孩都是雄中雄女畢業

4.附近商圈林立,生活機能超方便",2021-03-20
,一房兩廳評車便宜,10000,10416,https://rent.591.com.tw/rent-detail-10644866.html,高雄市大社區學府路225巷,含管理費,觀音山國際山莊,平面式停車位，已含租金內,--,洪小姐(仲介，收取服務費),不可以,1房2廳1衛2陽台,16坪,6F/12F,電梯大樓,2021-04-16,10644866,暫未添加說明,2021-03-20
,美麗島2分鐘.全新有隔間有大陽台.美套房,10000,10720,https://rent.591.com.tw/rent-detail-10621418.html,高雄市新興區大同一路185號,,總統套房,無,720元/月,郭小姐（屋主聲明：仲介勿擾）,不可以,1房1廳1衛1陽台,15坪,4F/12F,電梯大樓,2021-04-11,10621418,"*全新隔間-有單獨房間.大客廳及超大陽台及氣密窗(足10坪大)
* 全新裝潢大房間及客廳舒適又乾淨(有2台分離式冷氣)
*水管換新,6呎衣櫃.厠所.裝潢全新你就是第一手房客!
*走路2分鐘到捷運-美麗島(約200公尺).4分鐘到中央公園(約400公尺)
*隔壁(南華夜市) 近新興市埸.新崛江.中央公園.六合夜市.
*生活機能強.格局方正.食衣住行太方便!
*小家庭也可入住,情侶雙人好甜蜜,單人自住好寬敞!*
*一樓是大型整形美容診所,大樓漂亮,戶數少又單純!
*上班時間若未即時接到電話,稍候會回電,敬請見諒!*
*好房東歡迎好房客賞房",2021-03-20
x,高雄社會住宅✶民祥街✶便捷電梯大樓4房,10000,12030,https://rent.591.com.tw/rent-detail-10648780.html,高雄市三民區民祥街,,**,無,2030元/月,邱小姐(仲介，不須服務費),不可以,4房2廳2衛0陽台,45.28坪,20F/23F,電梯大樓,2021-04-17,10648780,"🌼【地點】位於民祥街、近澄清路、覺民路

🌼【房型】4房2廳2衛陽，電梯大樓

🌼【樓層】20/23

🌼【一般戶租金】10,000

🌼【第一類租金】8,750

🌼【第二類租金】6,250

🌼【管理費】2,030

🌼【押金】2個月

🌼【坪數】45.28

🌼【周遭環境】超優環境，生活機能極便利；鄰近錫安山土產供應中心、便利商店、烘焙坊、居家用品店、動物醫院、汽車經銷商、寵物用品店、銀行、主婦聯盟合作社、寶葉滯洪公園🌻🌴🐒🐕🐤、餐廳林立🥤🍦🍜🍰🍩🍎

🌼【傢俱家電】熱水器、天然瓦斯

🈲禁寵物、禁拜拜

❤️免收取仲介費

 

👍國家住宅及都市更新中心社會住宅包租代管計畫👍

【申請條件說明】       

🎯一般戶：租金$10,000

符合家庭年所得111萬以下，且全家人口月收入平均45,847元以下，且於高雄市無自有住宅，且設籍高雄市或於高雄市就學、就業者(需提供就學、在職證明)。

🎯第一類戶：租金$8,750

設籍高雄，且符合下列任一項資格且全家人口平均月收入低於45,847元以下。

-身心障礙者

-65歲以上之老人

-原住民、災民、遊民

-育有3名未成年(20歲以下)子女

-受家庭暴力或性侵害之受害者及其子女

-特殊境遇家庭(需取得特殊境遇家庭扶助公文)

-感染人類免疫缺乏病毒者或罹患後天免疫缺乏症候群者

-於安置教養機構或寄養家庭結束安置無法返家，未滿二十五歲

🎯第二類戶：租金$6,250

設籍高雄，且低收入戶、中低收入戶資格者。



【申請所須資料】

✅申請人之國民身分證│年滿20歲、中華民國國籍

✅全戶戶籍謄本│戶政申請，申請日前一個月內有效；戶籍謄本記事欄不可省略

✅戶籍內家庭成員財產歸屬清單

國稅局申請，申請日前一個月內有效

✅戶籍內家庭成員綜所稅清單│國稅局申請，申請日前一個月內有效；家庭成員指：申請人、申請人配偶、申請人之戶籍內直系親屬、申請人配偶之戶籍內直系親屬(含胎兒)；若申請人父母均已故，申請人戶籍內有未成年或身心障礙之兄弟姊妹需要照顧者(單身)，亦可納為家庭成員

✅其他身分別證明文件



📞看屋請電：0936-419299 邱小姐

🏠申請地址：高雄市新興區中山一路126號(捷運站-美麗島4號出口)

☎公司專線：07-2363153；聯繫時間：每日09:00~18:00



🏆寄居蟹租屋有限公司

經紀人陳勁安(106)竹市經證字第000188號",2021-03-20
,3房一廳空屋出租無設備衛浴全新,10000,11260,https://rent.591.com.tw/rent-detail-10523911.html,高雄市苓雅區苓南路,,,無,1260元/月,戴先生（代理人）,不可以,3房1廳1衛0陽台,23坪,3F/12F,公寓,2021-03-23,10523911,"3房一廳 空屋出租 無設備 衛浴全新

地點: 實踐大學高雄區城區部 正對面

設施:

管理員收發信


電梯

鄰近:
自強夜市、漢神百貨、附近公園綠地、高雄輕軌旅運中心",2021-03-20
,"近楠梓交流道,仁翔社區大樓4房含平面車位",10000,11913,https://rent.591.com.tw/rent-detail-10543948.html,高雄市楠梓區清成街,,心想室成,平面式停車位，已含租金內,1913元/月,李先生（屋主聲明：仲介勿擾）,可以,4房2廳2衛1陽台,33坪,3F/10F,電梯大樓,2021-03-26,10543948,可合租,2021-03-20
,三多總圖景觀電梯美二房~含管理費,10500,10937,https://rent.591.com.tw/rent-detail-10573736.html,高雄市苓雅區新光路,含管理費,聯宏成功大樓,無,--,值班人員(仲介，收取服務費),不可以,2房0廳1衛1陽台,11.86坪,10F/12F,電梯大樓,2021-04-02,10573736,"1.設備：電視、冰箱、床組、冷氣、電熱水器、書桌、洗衣機；2房有獨立電表

2.含管理費、不可養寵物、拜拜、設戶籍 

3.衛浴開窗，有機車位使用、垃圾集中區

4.面新光路、可看海景、光線通風超好、世貿、總圖旁，門口就有公園、輕軌站

5.全屋幾年前全部整新，屋況好 

6.近世貿、大遠百、軟體園區、總圖、飯店，上班超方便 

↜✿❀~✿❀~✿❀~✿❀~✿❀~✿❀~✿❀~✿❀~✿❀~✿❀~✿❀~✿❀~✿❀~✿❀~✿❀↝

☞買屋賣屋大小事~請找中信房屋鳳山武慶團隊 ☜

您對家的夢想是什麼？就讓我們一起來幫您達成 

我們能為您提供完整服務內容：

    ❤免費房屋行情估價
    ❤免費土地增值稅試算
    ❤買賣房屋
    ❤房屋租賃
    ❤法拍屋代標
    ❤房屋交易安全制度
    ❤房屋相關問題諮詢

面對您的疑問我們會一一給予解答，用心服務為您 ☺ 
不論什麼物件，只要您有需求，我們定當竭盡全力、不負所托。

♛ 我們有最優質的團隊為您服務，歡迎委售委租 ♛
☎歡迎來電預約幸福賞屋專線：(07)761-9988
✿ 我們將用專業的服務 實現您幸福的家",2021-03-20
,鄰近好市多、義享天地優質套房,11000,11900,https://rent.591.com.tw/rent-detail-10591992.html,高雄市左營區大順一路260號,,新倫敦大樓,無,900元/月,林先生（屋主聲明：仲介勿擾）,不可以,1房1廳1衛1陽台,13坪,8F/13F,電梯大樓,2021-04-05,10591992,"電梯大樓，位於優質社區內，24小時保全管理系統。

房間：家俱家電全，裝潢好，一卡皮箱即可入住。

周邊：附近有7-11，步行2分鐘即到好市多、3分鐘義享天地、5分鐘龍華市場，生活機能非常棒！

交通：步行10分鐘可到凹子底捷運站口....

限女性,基督徒姊妹另有優惠。",2021-03-20
,永順街整層住家出租,11000,11000,https://rent.591.com.tw/rent-detail-9446890.html,高雄市小港區永順街,,,無,--,陳爺爺（屋主）,不可以,3房2廳2衛1陽台,40坪,9F/12F,電梯大樓,2021-04-05,9446890,"寧靜優美房屋出租（尋找8月房客～）
位在小港鬧區、吃飯、買東西都很方便
生活機能佳 

歡迎女學生、老師
《目前有房客居住 可提早預先看房 正式8/1開始可入住 （可先付訂金預定》
*同學合租11000包網路",2021-03-20
,精美庭院大兩房,11000,11850,https://rent.591.com.tw/rent-detail-10619714.html,高雄市前鎮區三多三路,含網路,世紀庭院,無,850元/月,王小姐（屋主）,不可以,1房1廳1衛1陽台,24坪,3F/16F,電梯大樓,2021-04-10,10619714,生活便利出門對面忠孝閙市，走路五分鐘新光北貨公司10分捷運樓下全家生活非常便利,2021-03-20
,@(照片+內容更新中)現場實拍,11000,11000,https://rent.591.com.tw/rent-detail-10625783.html,高雄市苓雅區林森二路,含管理費,(近期看屋租金有優惠),無,--,李先生（屋主聲明：仲介勿擾）,不可以,2房2廳1衛1陽台,29坪,3F/3F,電梯大樓,2021-04-12,10625783,"PS：租金11000元(獨立進出+可不用爬樓梯)

@(近期看屋，租金有優惠)

PS：29坪，現況2房2廳1衛(可3房1廳1衛)有廚房

PS：(採光通風超級好)，(不用管理費)，附(42吋)液晶(大)電視

PS：(不吵很安靜)，也沒貓狗叫，很好睡

PS：不漏水，可曬衣，地磚沒損壞(但有些地方有些隆起)

PS：(有專用機車位)，不必煩惱機車要停哪

PS：有獨立電表(電費依台電電費單自行繳款)

PS：別人一度電收5元，但是你知道電費沒超過一定度數其實1度電才2元嗎？(光多繳的電費＋不用管理費就可省多少的房租了)

PS：請放心我不是一個(愛亂扣)押金的人絕對是你認為的好房東，押金2個月(無法1個月)，絕不亂扣押金、絕不打擾房客、無正當理由不會進屋，承租人如有換鎖需求(須自費)，鑰匙可不交給屋主，退租時(可選擇)將新鎖鑰匙留給屋主或換回原來舊的鎖

@全新的水塔(確保水質乾淨)+全新的數位恆溫熱水器(可自己設定熱水溫度)

PS：好物件(錯過了就沒有了)，看屋時間(請提早30分鐘前打電話)(請直接打電話預約，勿傳簡訊要求加LINE，謝謝)，屋主電話：0939-975-201

PS：租屋條件：禁菸(可開窗抽菸)、禁養寵物

PS：1請(準時)交租，(每月)收租到期後(一個月內若無交租)或(沒繳)水電費，屋主可(立即退租)終止租約且進屋清空房屋不負賠償責任，租金須(ㄧ次付清，不能分期)2室內牆壁(不可亂貼圖或釘鐵釘)3無法(遷入戶籍)或(營業登記)4無法申請(租金補貼或報稅)",2021-03-20
,超高Cp值景觀兩房平車（秒殺,11000,12458,https://rent.591.com.tw/rent-detail-10525862.html,高雄市大社區學府路,,觀音山國際山莊,平面式停車位，已含租金內,1000元/月,洪小姐(仲介，收取服務費),不可以,2房2廳1衛2陽台,18坪,8F/12F,電梯大樓,2021-03-23,10525862,暫未添加說明,2021-03-20
,近楠梓車站，電梯公寓三房兩廳，附簡易家具,11000,12000,https://rent.591.com.tw/rent-detail-10655314.html,高雄市楠梓區朝明路114巷,,,無,1000元/月,楊先生（代理人）,不可以,3房2廳2衛1陽台,28坪,3F/7F,公寓,2021-04-18,10655314,居家寧靜單純，採光佳，浴廁開窗。,2021-03-20
